,Name,Nationality,Position,Team,Age,Apps,Starts,Subs,Minutes,Min / app,Goals,Assists,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG
0,Neil Etheridge,ph,GK,Cardiff City,28.0,38,38,0,"3,420",90,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Bruno Ecuele Manga,ga,DF,Cardiff City,30.0,38,37,1,"3,375",89,0,1,0,0,15,0,0,4,0.0,0.03,0.0,0.03,0.11,0.4,0.4
49,Sean Morrison,eng,DF,Cardiff City,27.0,34,34,0,"3,040",89,1,3,0,0,32,6,0,10,0.03,0.12,0.03,0.12,0.3,0.95,0.95
87,Joe Bennett,eng,DF,Cardiff City,28.0,30,30,0,"2,641",88,0,1,0,0,21,5,0,3,0.0,0.03,0.0,0.03,0.1,0.72,0.72
99,Víctor Camarasa,es,MF,Cardiff City,24.0,32,31,1,"2,579",81,5,4,1,1,25,6,0,12,0.17,0.31,0.14,0.28,0.42,0.87,0.87
112,Sol Bamba,ci,DF,Cardiff City,33.0,28,28,0,"2,475",88,4,1,0,0,35,7,0,7,0.15,0.18,0.15,0.18,0.25,1.27,1.27
135,Aron Gunnarsson,is,"DF,MF",Cardiff City,29.0,28,27,1,"2,274",81,1,1,0,0,27,5,0,4,0.04,0.08,0.04,0.08,0.16,1.07,1.07
149,Junior Hoilett,ca,"MF,FW",Cardiff City,28.0,32,23,9,"2,143",67,3,1,0,0,35,4,0,10,0.13,0.17,0.13,0.17,0.42,1.47,1.47
174,Harry Arter,br,MF,Cardiff City,28.0,25,24,1,"2,007",80,0,1,0,0,25,10,0,5,0.0,0.04,0.0,0.04,0.22,1.12,1.12
177,Callum Paterson,at,"DF,FW",Cardiff City,23.0,27,21,6,"1,996",74,4,1,0,0,42,4,0,8,0.18,0.23,0.18,0.23,0.36,1.89,1.89
184,Joe Ralls,ng,MF,Cardiff City,24.0,28,22,6,"1,958",70,0,0,0,1,29,4,1,3,0.0,0.0,0.0,0.0,0.14,1.33,1.33
202,Josh Murphy,eng,MF,Cardiff City,23.0,29,22,7,"1,823",63,3,2,0,0,14,2,0,16,0.15,0.25,0.15,0.25,0.79,0.69,0.69
238,Lee Peltier,wal,"DF,MF",Cardiff City,31.0,20,17,3,"1,542",77,0,0,0,0,15,4,0,1,0.0,0.0,0.0,0.0,0.06,0.88,0.88
251,Bobby Reid,sco,MF,Cardiff City,25.0,27,16,11,"1,422",53,5,2,1,1,6,0,0,9,0.32,0.44,0.25,0.38,0.57,0.38,0.38
307,Nathaniel Mendez-Laing,ar,MF,Cardiff City,26.0,20,11,9,985,49,4,1,1,1,7,0,0,10,0.37,0.46,0.27,0.37,0.91,0.64,0.64
318,Oumar Niasse,ch,"FW,MF",Cardiff City,28.0,13,12,1,940,72,0,0,0,0,8,0,0,6,0.0,0.0,0.0,0.0,0.57,0.77,0.77
346,Kenneth Zohore,se,FW,Cardiff City,24.0,19,7,12,746,39,1,1,0,0,14,1,0,8,0.12,0.24,0.12,0.24,0.97,1.69,1.69
365,Greg Cunningham,eng,"MF,DF",Cardiff City,27.0,7,7,0,630,90,0,0,0,0,8,3,0,1,0.0,0.0,0.0,0.0,0.14,1.14,1.14
376,Leandro Bacuna,ci,"MF,DF",Cardiff City,26.0,11,4,7,554,50,0,0,0,0,13,2,0,1,0.0,0.0,0.0,0.0,0.16,2.11,2.11
395,Danny Ward,it,"FW,MF",Cardiff City,26.0,14,4,10,440,31,1,0,0,0,2,0,0,6,0.2,0.2,0.2,0.2,1.23,0.41,0.41
407,Kadeem Harris,eng,MF,Cardiff City,25.0,13,3,10,366,28,1,0,0,0,4,1,0,3,0.25,0.25,0.25,0.25,0.74,0.98,0.98
443,Jazz Richards,br,"DF,MF",Cardiff City,27.0,4,0,4,129,32,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,Rhys Healey,ma,FW,Cardiff City,23.0,3,0,3,49,16,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.84,1.84
480,Gary Madine,eng,FW,Cardiff City,27.0,5,0,5,32,6,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,5.63,5.63
488,Loïc Damour,eng,MF,Cardiff City,27.0,2,0,2,21,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
