,Name,Team,xG,xA,xG90,xA90
1,Sadio Mané,Liverpool,16.76-5.24,5.12+4.12,0.49,0.15
2,Mohamed Salah,Liverpool,21.79-0.21,10.47+2.47,0.6,0.29
17,Roberto Firmino,Liverpool,13.74+1.74,6.34+0.34,0.47,0.22
55,Xherdan Shaqiri,Liverpool,4.06-1.94,1.89-1.11,0.35,0.16
58,James Milner,Liverpool,3.36-1.64,5.64+1.64,0.17,0.29
82,Virgil van Dijk,Liverpool,3.51-0.49,1.27-0.73,0.09,0.03
92,Divock Origi,Liverpool,2.24-0.76,0.19-0.81,0.57,0.05
104,Georginio Wijnaldum,Liverpool,3.18+0.18,1.94+1.94,0.1,0.06
129,Daniel Sturridge,Liverpool,1.50-0.50,1.07+0.07,0.28,0.2
151,Naby Keita,Liverpool,2.55+0.55,1.07+0.07,0.16,0.07
164,Joel Matip,Liverpool,0.90-0.10,0.18+0.18,0.05,0.01
182,Dejan Lovren,Liverpool,0.91-0.09,0.11+0.11,0.08,0.01
183,Jordan Henderson,Liverpool,1.51+0.51,1.69-1.31,0.07,0.08
221,Trent Alexander-Arnold,Liverpool,1.49+0.49,7.22-4.78,0.05,0.26
233,Fabinho,Liverpool,1.14+0.14,1.31-0.69,0.05,0.06
277,Adam Lallana,Liverpool,0.30+0.30,0.54+0.54,0.06,0.11
308,Joe Hart,Liverpool,0.00,0.02+0.02,0.0,0.0
309,Pablo Zabaleta,Liverpool,0.16+0.16,1.03+0.03,0.01,0.04
358,Alex Oxlade-Chamberlain,Liverpool,0.47+0.47,0.12+0.12,2.47,0.61
361,Joseph Gomez,Liverpool,0.23+0.23,0.42+0.42,0.02,0.04
370,Alisson,Liverpool,0.00,0.00,0.0,0.0
380,Andrew Robertson,Liverpool,0.86+0.86,8.06-2.94,0.02,0.22
458,Rafael Camacho,Liverpool,0.00,0.00,0.0,0.0
6,Harry Kane,Tottenham,16.12-0.88,4.56+0.56,0.6,0.17
15,Son Heung-Min,Tottenham,8.36-3.64,3.97-2.03,0.37,0.17
30,Lucas Moura,Tottenham,7.59-2.41,1.66+1.66,0.32,0.07
35,Christian Eriksen,Tottenham,5.66-2.34,7.88-4.12,0.18,0.26
62,Dele Alli,Tottenham,5.95+0.95,3.29+0.29,0.29,0.16
78,Erik Lamela,Tottenham,3.76-0.24,2.17+0.17,0.35,0.2
100,Eric Dier,Tottenham,1.42-1.58,1.10+1.10,0.08,0.07
190,Jan Vertonghen,Tottenham,1.01+0.01,0.24+0.24,0.05,0.01
191,Kieran Trippier,Tottenham,0.46-0.54,4.85+1.85,0.02,0.19
203,Victor Wanyama,Tottenham,1.08+0.08,0.06+0.06,0.19,0.01
209,Harry Winks,Tottenham,1.09+0.09,0.24+0.24,0.06,0.01
217,Fernando Llorente,Tottenham,3.50+2.50,2.01-1.99,0.47,0.27
247,Davinson Sánchez,Tottenham,1.62+0.62,0.62-0.38,0.08,0.03
248,Juan Foyth,Tottenham,0.70-0.30,0.79+0.79,0.07,0.08
316,Hugo Lloris,Tottenham,0.00,0.00,0.0,0.0
317,Toby Alderweireld,Tottenham,0.99+0.99,0.49+0.49,0.03,0.02
318,Danny Rose,Tottenham,0.80+0.80,2.59-0.41,0.04,0.13
319,Mousa Dembélé,Tottenham,0.03+0.03,0.00,0.01,0.0
320,Michel Vorm,Tottenham,0.00,0.00,0.0,0.0
321,Ben Davies,Tottenham,0.57+0.57,2.25+2.25,0.03,0.11
340,Moussa Sissoko,Tottenham,0.96+0.96,2.79-0.21,0.04,0.11
354,Kyle Walker-Peters,Tottenham,0.35+0.35,0.48-2.52,0.08,0.12
359,Paulo Gazzaniga,Tottenham,0.00,0.00,0.0,0.0
384,Georges-Kévin Nkoudou,Tottenham,0.00,0.61-0.39,0.0,18.23
385,Vincent Janssen,Tottenham,0.31+0.31,0.00,0.81,0.0
408,Serge Aurier,Tottenham,0.14+0.14,1.26-0.74,0.02,0.2
460,Luke Amos,Tottenham,0.00,0.00,0.0,0.0
483,Oliver Skipp,Tottenham,0.06+0.06,0.03+0.03,0.02,0.01
493,Oliver Skipp,Tottenham,0.06+0.06,0.03+0.03,0.02,0.01
